,title,price,condition,Screen Size,Color,RAM Size,SSD Capacity,Processor Speed,Brand,Maximum Resolution,Hard Drive Capacity,Storage Type,Processor_Brand,Processor_Series,Processor_Subseries,Processor_Generation,has_GPU,os_type
59,hp split 13 x2 laptop - i3-4012y - 4gb ram - 500gb sata ssd - win 10,71.99,used,13.0,missing,,,,hp,missing,,missing,intel,core,i3,4.0,0,missing
60,hp notebook 15 f004wm laptop computer intel celeron n2830@2.16ghz-4gb-500gb,49.99,used,15.6,missing,,,,hp,missing,,missing,intel,celeron,n,,0,missing
61,"17.3"" dell 7710 precision, i7-6820hq 2.70ghz, quadro m500, 32gb, 1tb ssd",399.95,good - refurbished,17.3,black,32.0,1000.0,2.7,dell,1920x1080,,ssd,intel,core,i7,6.0,1,windows
62,"msi gl65 leopard 15"" 2020 2.5ghz i5-10300h 24gb ram - gtx 1650 500 ssd",575.0,used,15.0,black,24.0,500.0,2.5,msi,missing,24.0,ssd,intel,core,i5,10.0,0,missing
63,dell latitude e7250 laptop boots intel core i5-5300u @ 2.3ghz 8gb ram no hdd,50.0,used,14.0,missing,,,,dell,missing,,missing,intel,core,i5,5.0,0,missing
64,lenovo b575 amd e-450 @ 1.65ghz 6gb ram 500 gb hdd windows 10,49.99,used,15.6,black,6.0,,1.65,lenovo,1366x768,500.0,hdd,amd,e-series,,,1,windows
65,lot of 6 dell latitude 7480 i5-6300u 2.4 ghz 8gb no hdd/os/batt (cosmetic),335.0,used,14.0,missing,8.0,,2.4,dell,missing,,no drive,intel,core,i5,6.0,0,no os
66,dell latitude e5420 intel i5-2520m @2.5ghz 8gb ram 250gb hdd no os read!,69.99,used,14.0,missing,8.0,250.0,2.5,dell,missing,250.0,hdd,intel,core,i5,2.0,0,no os
67,"asus vivobook 14″ (256gb ssd, intel amd ryzen 3, 3.5 ghz, 8 gb ram, amd...",349.99,open box,14.0,gray,8.0,256.0,2.6,asus,1920x1080,256.0,ssd,amd,ryzen,3,,1,windows
68,google pixel slate i5 128gb 8gb w/folio keyboard/pen/brydge keyboard,173.59,used,12.3,blue,8.0,128.0,3.9,google,3000x2000,128.0,ssd,intel,core,i5,7.0,1,missing
69,"lenovo ideapad flex 15.6"" fhd touch 1.8ghz i7-10510u 16gb 1tb ssd - mx230 2gb",479.99,excellent - refurbished,15.6,missing,16.0,1000.0,1.8,lenovo,1920x1080,,ssd,intel,core,i7,10.0,1,windows
70,getac v200 rugged touch screen laptop i5-3320m 2.60ghz 4gb ram w/power supply,149.95,used,12.1,missing,,,,getac,missing,,missing,intel,,,,0,missing
71,lenovo thinkpad x230 tablet|core i7@2.90ghz|8gb ram |256 gb ssd\d|win 10. prof|,299.0,good - refurbished,12.5,black,8.0,256.0,2.9,lenovo,1366x768,256.0,ssd,intel,core,i7,3.0,1,windows
72,"dell latitude 5330 13.3"" laptop computer intel core i5-1245u 256gb - grey",438.74,open box,13.3,gray,8.0,256.0,2.5,dell,1920x1080,,ssd,intel,core,i5,12.0,1,windows
73,dell latitude e7440 laptop boots core i5-4300u @1.9ghz 8gb ddr3 ram no os no ssd,38.0,used,14.0,missing,,,,dell,missing,,missing,core,i5,,4.0,0,missing
74,"dell latitude e5440 14"" laptop i5 4th gen 250gb ssd 8gb ram win 10 pro (z3e2) l",174.95,good - refurbished,14.0,black,8.0,256.0,1.9,dell,1366x768,,ssd,intel,core,i5,4.0,1,windows
